time_min,oxygen,glucose,lactate,ECM,TGF_beta,IFN_gamma,Gal8_ext
10020,14.297096485788416,0.6750441360761228,7.021957594745793,1.684819084829156,0.08242776706625844,0.021018343331133414,9.076e-321
10080,14.276775550405276,0.6738197526293667,7.029180091351438,1.6898694254394075,0.08288092226180606,0.020940283698224867,9.076e-321
10140,14.27559743461431,0.6736459792847961,7.040388839900757,1.6949082059404166,0.08215769029083993,0.021493432689390576,9.076e-321
10200,14.287275523975232,0.6740457529008117,7.027131341130667,1.6950547270810776,0.08149676496071309,0.021903350283952114,9.076e-321
10260,14.269634235465292,0.6730244646271152,7.023908690190418,1.6980012783457417,0.08157616206544291,0.021776820949685076,9.076e-321
10320,14.279520847172627,0.6731302119995627,7.022722372893743,1.7035554142387452,0.08162462228255744,0.021674454241399212,9.076e-321
10380,14.28083757551495,0.67345271693829,7.030087865967057,1.7087106453584153,0.08329001759391247,0.021425137505314128,9.076e-321
10440,14.2946776841981,0.6738149977104751,7.041212687385277,1.7098110442247536,0.08367676027863259,0.02126563254434489,9.076e-321
10500,14.265939346451699,0.6728611605699774,7.0514230488933185,1.7141445019802428,0.08303432303585935,0.021178282568027233,9.076e-321
10560,14.28827027293057,0.6729791057423349,7.061036137818453,1.7182294914357825,0.08399968930426814,0.021176540011690195,9.076e-321
10620,14.275950131919666,0.6723318720499049,7.067002877125531,1.720174674384735,0.08395773153495018,0.02112163740202359,9.076e-321
10680,14.2888955784347,0.6723663389093681,7.076927134088986,1.7202183861427143,0.0828320058626307,0.021107073521792287,9.076e-321
10740,14.25531596745846,0.6718612101743551,7.084559862957252,1.721198662530931,0.08183201651071778,0.021110294832978268,9.076e-321
10800,14.236179365577335,0.6711567521160614,7.0915555772678385,1.7232433270599703,0.08317559246899114,0.021094549366834473,9.076e-321
10860,14.254673293555456,0.6716927326319716,7.095325008508754,1.7242843849002856,0.08389367138894326,0.021091165028876115,9.076e-321
10920,14.250723876041148,0.6713047608072231,7.097275702849691,1.7272300298805459,0.08450266164453633,0.021102976316652994,9.076e-321
10980,14.248739951051888,0.6705427164466642,7.100788184516212,1.7321421437712374,0.08475068013459976,0.021100401363879723,9.076e-321
11040,14.216144238703599,0.6694952071199914,7.107680912286497,1.7360867254705368,0.08485348765816428,0.02107599218788087,9.076e-321
11100,14.221500719261213,0.669559123007628,7.11351867444001,1.7430786924107056,0.08366642693457013,0.02109967815465737,9.076e-321
11160,14.200351620030808,0.6691976783555317,7.118511090373821,1.7460547384339002,0.08455472496561624,0.021054270900987503,9.076e-321
11220,14.19400590001851,0.6691966288160216,7.122795202154478,1.751982112330965,0.08517298218403657,0.021036217283179077,9.076e-321
11280,14.160771141873767,0.6679585704365404,7.127871239755466,1.7530638318725331,0.08483338638803586,0.021023120852746054,9.076e-321
11340,14.189890010496109,0.6679322280841877,7.131949596587374,1.7564409182546348,0.08479485405909407,0.020818816716408405,9.076e-321
11400,14.176953457409178,0.6674059321631012,7.133583272682353,1.757825859512754,0.08556884763620647,0.020805846456189468,9.076e-321
11460,14.131473330630188,0.6663946920375318,7.14438735870778,1.760420313383097,0.08581860711591856,0.02078592817742562,9.076e-321
11520,14.141500788129242,0.6660616526020107,7.157455762752417,1.764614093541024,0.0856333159350787,0.020721475046589312,9.076e-321
11580,14.144943949755502,0.6657352450560038,7.16452832606976,1.7674328736066955,0.08544596210802784,0.020748362787247582,9.076e-321
11640,14.170959998750186,0.666202561801737,7.1719523746004565,1.7678020533722425,0.08610572635433057,0.02099554836562424,9.076e-321
11700,14.141280399028538,0.6651575603657557,7.179027280892044,1.7726421397079808,0.08683661614767378,0.021044839470403507,9.076e-321
11760,14.16223875129931,0.6650515315214306,7.175709126067647,1.7728186862298916,0.08571936941625645,0.021053506818230063,9.076e-321
11820,14.140308776748524,0.66471936630906,7.167631463233191,1.7747234253919517,0.08649708558315798,0.021050323970292825,9.076e-321
11880,14.149286049603624,0.6642067262524358,7.167628426861474,1.7789691425290959,0.08660860927477046,0.021027670057400565,9.076e-321
11940,14.142906257354342,0.6644126142099493,7.172125395377637,1.7845555352430946,0.08615310909392859,0.020808811788923857,9.076e-321
12000,14.15263470952276,0.6640714048197525,7.176260682720723,1.7869357073490104,0.08743893209444001,0.020783656036461547,9.076e-321
12060,14.16723329937709,0.664089983282903,7.173140566708952,1.7909443882515748,0.08685016176937593,0.02076660061987507,9.076e-321
12120,14.172268850371474,0.6637279371024665,7.170827116951269,1.7939982952944786,0.08856927119139475,0.020803415495304595,9.076e-321
12180,14.164215911298431,0.6639642192518975,7.173526067721944,1.7959667578230212,0.08765394582013258,0.02102880156626392,9.076e-321
12240,14.152907247388127,0.6633362610737356,7.178389713255012,1.797969488954204,0.08838346455976545,0.021049033019006916,9.076e-321
12300,14.185349139265536,0.66362579802675,7.183611138303729,1.8013371206815443,0.08977511803623141,0.02102672507511135,9.076e-321
12360,14.173235284248856,0.6627888801880053,7.193841175925014,1.8044737777202966,0.08956606657901864,0.020802198180616124,9.076e-321
12420,14.13681878165146,0.6618604050302419,7.2040321610786675,1.8072603772537146,0.08884980418700458,0.02079291863274504,9.076e-321
12480,14.113044483364417,0.6606859636376335,7.2145907794870086,1.8075141515256594,0.08903156050389431,0.02078710302568254,9.076e-321
12540,14.07588806848918,0.6588411919688519,7.221978523982793,1.8114032204153623,0.0899358429196745,0.020785520322130494,9.076e-321
12600,14.094067083501338,0.6591526925479535,7.230074138486766,1.8123853561254273,0.08970138813613812,0.020969093196905677,9.076e-321
12660,14.062283695615612,0.657559121330326,7.23967040905855,1.8156489290591378,0.08932040311029767,0.02125447196104898,9.076e-321
12720,14.051635358456446,0.6566963602995116,7.251602647487153,1.8166706622568956,0.08981111660635739,0.021136913933430854,9.076e-321
12780,14.032532633847138,0.6556850652349069,7.261311174173506,1.822619466260364,0.0909433652847544,0.021450534595943278,9.076e-321
12840,14.024725358684902,0.6553658522309458,7.270492897229157,1.8236629137351699,0.09070322736238459,0.02152640772692604,9.076e-321
12900,14.01684929025802,0.6547762111134817,7.280741359385442,1.8267329707798512,0.09186146317415525,0.021381891261753824,9.076e-321
12960,13.999798751358883,0.6550809194835995,7.286643043854958,1.828754327898756,0.091229142341819,0.02125520228912175,9.076e-321
13020,13.999990655899712,0.6549008177683574,7.294477141783642,1.8355952741983002,0.09018928777542749,0.020871316894181577,9.076e-321
13080,14.014254145526056,0.6549649936853008,7.297706474144188,1.8378697516709595,0.0901424590242226,0.021028573305864107,9.076e-321
