x,y,z,type
-51.612453,352.726581,0.000000,PD-L1lo_tumor
-34.235375,-15.476098,0.000000,PD-L1lo_tumor
-116.232832,322.686913,0.000000,PD-L1lo_tumor
-265.320771,-266.149252,0.000000,PD-L1lo_tumor
69.307310,279.729136,0.000000,PD-L1lo_tumor
-346.728002,123.019179,0.000000,PD-L1lo_tumor
-14.665420,-382.881595,0.000000,PD-L1lo_tumor
-145.078946,29.795265,0.000000,PD-L1lo_tumor
-320.542933,-223.497086,0.000000,fixed_vessel_source
72.595129,313.106937,0.000000,PD-L1lo_tumor
-31.111200,-213.098188,0.000000,PD-L1lo_tumor
26.570179,136.503826,0.000000,PD-L1lo_tumor
-149.960375,-168.288945,0.000000,PD-L1lo_tumor
114.252854,225.752512,0.000000,PD-L1lo_tumor
138.526659,15.579418,0.000000,PD-L1lo_tumor
-71.610157,72.281518,0.000000,PD-L1lo_tumor
-140.512143,-49.503954,0.000000,PD-L1lo_tumor
289.138584,197.602199,0.000000,PD-L1lo_tumor
-156.228483,-43.205071,0.000000,PD-L1lo_tumor
-421.098939,-302.595509,0.000000,fixed_vessel_source
-274.980956,109.004242,0.000000,PD-L1lo_tumor
43.490153,194.578249,0.000000,PD-L1lo_tumor
46.068602,-440.270097,0.000000,fixed_vessel_source
156.364019,-311.909815,0.000000,PD-L1lo_tumor
339.427441,37.446229,0.000000,PD-L1lo_tumor
-22.339420,-292.914011,0.000000,PD-L1lo_tumor
145.037643,-341.900651,0.000000,PD-L1lo_tumor
-88.779958,-248.539060,0.000000,PD-L1lo_tumor
289.639572,-192.775751,0.000000,PD-L1lo_tumor
-9.556772,221.955076,0.000000,PD-L1lo_tumor
204.182080,50.609322,0.000000,PD-L1lo_tumor
245.093823,51.126800,0.000000,PD-L1lo_tumor
-275.375675,65.704494,0.000000,PD-L1lo_tumor
-145.938680,-66.352828,0.000000,PD-L1lo_tumor
24.677881,-0.930620,0.000000,PD-L1lo_tumor
261.813980,-49.798612,0.000000,PD-L1lo_tumor
-291.377248,-86.043969,0.000000,PD-L1lo_tumor
-245.607058,-123.317464,0.000000,PD-L1lo_tumor
261.368454,167.107656,0.000000,PD-L1lo_tumor
170.915135,-7.452433,0.000000,PD-L1lo_tumor
-236.170291,-164.640007,0.000000,PD-L1lo_tumor
186.503110,263.595938,0.000000,PD-L1lo_tumor
-988.793943,-365.471384,0.000000,fixed_vessel_source_compressed
0.653441,-385.753282,0.000000,PD-L1lo_tumor
-107.712504,-101.416155,0.000000,PD-L1lo_tumor
-37.832363,-164.818968,0.000000,PD-L1lo_tumor
221.405810,296.144493,0.000000,PD-L1lo_tumor
-65.011813,-348.287319,0.000000,PD-L1lo_tumor
160.312301,244.096232,0.000000,PD-L1lo_tumor
247.221121,-261.527769,0.000000,PD-L1lo_tumor
199.649447,4.910669,0.000000,PD-L1lo_tumor
286.189990,-166.223285,0.000000,PD-L1lo_tumor
-159.288119,76.577480,0.000000,PD-L1lo_tumor
-202.717604,287.014690,0.000000,PD-L1lo_tumor
33.866791,53.910285,0.000000,PD-L1lo_tumor
-82.674935,-185.124115,0.000000,PD-L1lo_tumor
-121.001414,-274.158960,0.000000,PD-L1lo_tumor
263.101365,86.266470,0.000000,PD-L1lo_tumor
-703.452990,-179.567897,0.000000,fixed_vessel_source
513.099008,97.961931,0.000000,fixed_vessel_source
-363.061271,-89.386725,0.000000,PD-L1lo_tumor
-279.445035,149.564152,0.000000,PD-L1lo_tumor
221.032201,-59.845352,0.000000,PD-L1lo_tumor
167.981106,-124.151179,0.000000,PD-L1lo_tumor
118.958443,-194.687657,0.000000,PD-L1lo_tumor
-217.532813,291.164706,0.000000,PD-L1lo_tumor
-105.471934,-187.667540,0.000000,PD-L1lo_tumor
250.022819,-229.868638,0.000000,PD-L1lo_tumor
226.033947,19.610213,0.000000,PD-L1lo_tumor
89.141944,-68.975192,0.000000,PD-L1lo_tumor
205.567839,133.333068,0.000000,PD-L1lo_tumor
-122.069603,134.767190,0.000000,PD-L1lo_tumor
-214.466617,276.338382,0.000000,PD-L1lo_tumor
181.181935,-115.704665,0.000000,PD-L1lo_tumor
-183.113045,-45.092833,0.000000,PD-L1lo_tumor
15.687561,-254.416542,0.000000,PD-L1lo_tumor
-56.867153,71.926513,0.000000,PD-L1lo_tumor
147.023694,203.449915,0.000000,PD-L1lo_tumor
225.466080,-8.642478,0.000000,PD-L1lo_tumor
